Section,Requirement,Minimum,Current State,Status,Priority,Notes
Backups,RDS automated backups,≥ 7 days,7 days (03:00–04:00 UTC),PASS,Pre-launch,
Backups,RDS deletion protection,Enabled,true,PASS,Pre-launch,Changed from false in this review
Backups,RDS skip_final_snapshot,false,false,PASS,Pre-launch,Changed from true in this review
Backups,Redis snapshot retention,≥ 1 day,1 day (03:00–04:00 UTC),PASS,Pre-launch,
Backups,EFS daily backup (AWS Backup),Enabled,Daily at 02:00 UTC · 120-day retention,PASS,Pre-launch,
Backups,S3 versioning — media & backups,Enabled,Enabled on both buckets,PASS,Pre-launch,
Backups,S3 cross-region replication,DR copy,Backups bucket → eu-central-1,PASS,Pre-launch,
Backups,Backup encryption (KMS),At rest,alias/${env}-boiler-plate-backup,PASS,Pre-launch,
Restore Testing,RDS point-in-time restore,Run + document before launch,Not run / not documented,FAIL,Pre-launch,Must be completed before go-live
Restore Testing,EFS restore from vault,Run + document before launch,Not run / not documented,FAIL,Pre-launch,Must be completed before go-live
Restore Testing,RTO target defined,Agreed & documented,Not formally defined,FAIL,Pre-launch,Document in OPERATIONS_RUNBOOK.md
Restore Testing,RPO target defined,Agreed & documented,Not formally defined,FAIL,Pre-launch,Document in OPERATIONS_RUNBOOK.md
Restore Testing,OPERATIONS_RUNBOOK.md,Exists in repo,Present,PASS,Pre-launch,
Restore Testing,Restore runbook (step-by-step),Step-by-step per resource,Architecture docs exist — procedure incomplete,PARTIAL,Pre-launch,Complete the step-by-step restore sections
Alerting,Monitoring ASG unhealthy,CloudWatch alarm,Configured in monitoring_alerts.tf,PASS,Pre-launch,
Alerting,ALB frontend unhealthy targets,CloudWatch alarm,Configured in monitoring_alerts.tf,PASS,Pre-launch,
Alerting,ECS frontend RunningTaskCount < 1,CloudWatch alarm,Configured in monitoring_alerts.tf,PASS,Pre-launch,
Alerting,Redis CPUUtilization > 80%,CloudWatch alarm,Configured in monitoring_alerts.tf,PASS,Pre-launch,
Alerting,RDS FreeStorageSpace < 2 GiB,CloudWatch alarm,Configured in monitoring_alerts.tf,PASS,Pre-launch,
Alerting,RDS CPUUtilization > 80%,CloudWatch alarm,Configured in backup_dr.tf,PASS,Pre-launch,
Alerting,ECS backend RunningTaskCount < 1,CloudWatch alarm,Added to monitoring_alerts.tf in this review,PASS,Pre-launch,treat_missing_data = breaching
Alerting,RDS DatabaseConnections ≥ 90,CloudWatch alarm,Added to monitoring_alerts.tf in this review,PASS,Pre-launch,Threshold at 90% of max_connections=100
Alerting,SNS email subscription confirmed,Active subscriber,Subscription unconfirmed — alerts fire into a void,FAIL,Pre-launch,Manual — confirm in AWS Console (prod-dr-alerts topic)
Incident Response,On-call contact defined,Name + phone + hours,Not documented,FAIL,Pre-launch,Add to OPERATIONS_RUNBOOK.md
Incident Response,Incident severity levels,P1/P2/P3 criteria defined,Not defined,FAIL,Pre-launch,Add to OPERATIONS_RUNBOOK.md
Incident Response,Escalation path,Clear chain of escalation,Not documented,FAIL,Pre-launch,Add to OPERATIONS_RUNBOOK.md
Incident Response,War-room channel / tool,Slack / Teams channel created,Not documented,FAIL,Pre-launch,Create channel before launch day
Incident Response,Post-incident review template,Lightweight template,Not documented,FAIL,Pre-launch,Add to OPERATIONS_RUNBOOK.md
Incident Response,OPERATIONS_RUNBOOK.md,Exists in repo,Present,PASS,Pre-launch,
SPOF Register,RDS MySQL,Single-AZ accepted for MVP,db.t3.micro · multi_az=false,ACCEPTED,Revenue-gated,$1k–$5k MRR → enable multi_az + upgrade to db.t3.small (+~$80/mo)
SPOF Register,Redis/ElastiCache,Single node accepted for MVP,cache.t3.micro · num_cache_nodes=1,ACCEPTED,Revenue-gated,$5k–$15k MRR → replication group 1 primary + 1 replica (+~$60/mo)
SPOF Register,NAT Gateway,Single NAT accepted for MVP,single_nat_gateway=true across 2 AZs,ACCEPTED,Revenue-gated,$1k–$5k MRR → single_nat_gateway=false per-AZ NAT (+~$80/mo bundled with RDS)
SPOF Register,Monitoring EC2,Single instance accepted for MVP,t2.small · ASG min=1 max=2,ACCEPTED,Revenue-gated,$5k–$15k MRR → ASG min=2 active monitoring HA (+~$60/mo bundled with Redis)
Revenue Gates,Pre-launch — NOW,$0,Terraform changes + operational steps,Blocker,Immediate,deletion_protection + skip_final_snapshot + SNS confirm + on-call + restore test
Revenue Gates,Early Access,$0–$1k MRR,+~$5/mo,High,Early Access,14-day backup retention + Redis 3-day snapshots + EFS restore test
Revenue Gates,Initial Revenue,$1k–$5k MRR,+~$80/mo,Medium,Initial Revenue,RDS multi_az + db.t3.small + per-AZ NAT gateways
Revenue Gates,Growth,$5k–$15k MRR,+~$60/mo,Medium,Growth,Redis replication group + ECS desired_count≥2 + monitoring ASG min=2
Revenue Gates,Scale,$15k–$50k MRR,+~$120/mo,Low,Scale,RDS db.t3.medium + read replica + CloudWatch Synthetics canary
Revenue Gates,Committed SLA,$50k+ MRR,+~$250/mo,Low,SLA,Redis cluster mode + SLA contracts + on-call rotation + annual DR drill
